"Date","Season","Team","Spread","Team2"
1120,2008,"buffalo",6,"niagara"
1120,2008,"elon",18.5,"georgia"
1120,2008,"the citadel",15.5,"pennsylvania"
1120,2008,"towson state",2,"samford"
1120,2008,"austin peay",3,"utah state"
1121,2008,"rhode island",3.5,"boston college"
1121,2008,"toledo",11.5,"dayton"
1121,2008,"georgetown",-20,"ball state"
1121,2008,"saint louis",6.5,"missouri st"
1121,2008,"louisville",-3,"unlv"
1121,2008,"hawaii",13,"new mexico"
1121,2008,"long beach state",7,"pepperdine"
1121,2008,"arizona state",1.5,"lsu"
1121,2008,"oklahoma st.",4.5,"illinois"
1121,2008,"princeton",4,"chaminade"
1121,2008,"marquette",4,"duke"
1121,2008,"texas a&m",-3,"washington"
1121,2008,"ohio state",1.5,"syracuse"
1121,2008,"michigan",6,"butler"
1121,2008,"eastern washington",14,"virginia tech"
1121,2008,"eastern michigan",7,"manhattan"
1121,2008,"davidson",-4,"western michigan"
1121,2008,"eastern kentucky",14,"uab"
1121,2008,"morehead state",25,"oklahoma"
1121,2008,"northern arizona",26.5,"kansas"
1121,2008,"montana state",8,"fresno state"
1121,2008,"sacramento state",17.5,"pacific"
1122,2008,"penn state",3,"south carolina"
1122,2008,"rider",13.5,"nc state"
1122,2008,"villanova",-7,"central florida"
1122,2008,"george mason",1.5,"kansas state"
1122,2008,"mississippi st",-10,"california-irvine"
1122,2008,"tennessee-chattanooga",16,"so illinois"
1122,2008,"miami (oh)",-3,"south alabama"
1122,2008,"san diego",13,"usc"
1122,2008,"texas tech",-100,"alaska anchorage"
1122,2008,"western kentucky",6.5,"gonzaga"
1123,2008,"florida state",8,"florida"
1123,2008,"buffalo",22,"pittsburgh"
1123,2008,"southern miss",8.5,"alabama"
1123,2008,"yale",24,"ucla"
1123,2008,"rider",7.5,"penn state"
1123,2008,"south carolina",3,"nc state"
1123,2008,"george mason",2.5,"villanova"
1123,2008,"kansas state",-4,"central florida"
1123,2008,"howard",11,"loyola maryland"
1123,2008,"robert morris",8.5,"drexel"
1123,2008,"virginia",-12.5,"pennsylvania"
1123,2008,"navy",14.5,"seton hall"
1123,2008,"longwood",12.5,"nc wilmington"
1123,2008,"coppin state",4,"se missouri st"
1123,2008,"kent state",7.5,"xavier"
1123,2008,"indiana",-9,"illinois state"
1123,2008,"jackson state",3,"hartford"
1123,2008,"so carolina st",4,"iona"
1123,2008,"byu",6,"louisville"
1123,2008,"old dominion",16,"north carolina"
1123,2008,"mississippi st",2,"so illinois"
1123,2008,"tennessee-chattanooga",5.5,"california-irvine"
1123,2008,"south alabama",-2.5,"san diego"
1123,2008,"miami (oh)",5.5,"usc"
1123,2008,"eastern washington",15.5,"michigan"
1123,2008,"western kentucky",-16,"alaska anchorage"
1123,2008,"virginia tech",8,"butler"
1123,2008,"texas tech",6,"gonzaga"
1123,2008,"washington",3.5,"syracuse"
1123,2008,"ohio state",-1,"texas a&m"
1123,2008,"florida gulf coast",8.5,"austin peay"
1123,2008,"md eastern shore",16,"valparaiso"
1123,2008,"bradley",-3,"iowa"
1123,2008,"utah state",13,"vanderbilt"
1123,2008,"new mexico state",9,"texas"
1123,2008,"west virginia",7.5,"tennessee"
1123,2008,"georgia southern",-4,"furman"
1123,2008,"idaho state",7.5,"oregon state"
1123,2008,"miss valley st",14,"air force"
1123,2008,"montana",16.5,"washington state"
1124,2008,"brown",9,"northwestern"
1124,2008,"temple",2,"bowling green"
1124,2008,"nebraska",6.5,"creighton"
1124,2008,"loyola chicago",13,"purdue"
1124,2008,"la-monroe",16,"mississippi"
1124,2008,"new orleans",8.5,"tulane"
1124,2008,"youngstown state",23,"notre dame"
1124,2008,"georgia",9,"wisconsin"
1124,2008,"east carolina",15,"south florida"
1124,2008,"toledo",12.5,"rhode island"
1124,2008,"troy",3,"georgia state"
1124,2008,"smu",19,"dayton"
1124,2008,"harvard",20,"providence"
1124,2008,"central mich.igan",12,"minnesota"
1124,2008,"drake",3,"wi milwaukee"
1124,2008,"pacific",6.5,"saint louis"
1124,2008,"louisiana tech",10,"arkansas-little rock"
1124,2008,"wyoming",4.5,"wichita state"
1124,2008,"san diego state",5.5,"california"
1124,2008,"san francisco",18.5,"oregon"
1124,2008,"nevada",3,"unlv"
1124,2008,"idaho",4.5,"cal riverside"
1124,2008,"colorado state",17,"stanford"
1124,2008,"howard",8,"robert morris"
1124,2008,"loyola maryland",7.5,"drexel"
1124,2008,"navy",6,"penn"
1124,2008,"seton hall",8.5,"virginia"
1124,2008,"longwood",9,"se missouri st."
1124,2008,"coppin st.",6.5,"unc-wilmington"
1124,2008,"kent st.",-1.5,"illinois st."
1124,2008,"xavier",2.5,"indiana"
1124,2008,"floridagulfcoast",-4.5,"mdeasternshore"
1124,2008,"utah st.",3.5,"iowa"
1124,2008,"bradley",5,"vanderbilt"
1124,2008,"jackson st.",2,"iona"
1124,2008,"socarolinast",7.5,"hartford"
1124,2008,"old dominion",11,"louisville"
1124,2008,"byu",7.5,"north carolina"
1124,2008,"montana",-1.5,"air force"
1124,2008,"miss valley st",30,"washington state"
1124,2008,"michigan",1.5,"western ky"
1124,2008,"virginia tech",6,"gonzaga"
1124,2008,"butler",-6,"texas tech"
1124,2008,"new mexico st.",7.5,"west virginia"
1124,2008,"texas",5.5,"tennessee"
1124,2008,"col charleston",8.5,"fordham"
1124,2008,"niagara",12,"duquesne"
1124,2008,"idaho state",6,"portland"
1124,2008,"elon",14,"va commonwealth"
1124,2008,"richmond",9,"marist"
1124,2008,"fairfield",10,"cincinnati"
